,Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ
5522,-0.7291543745677658,0.07692307692307693,0.5849971026224333,10.7995917638636,106.641375968557,3.0,0,0,-0.09639304316274322,0.0,1.0,0.0,1.0,0.0
1867,0.6499966829618635,0.07692307692307693,0.5849971026224333,10.8163155205366,106.715053685036,3.0,0,0,0.9196032047928032,0.0,0.0,0.0,1.0,0.0
106,0.6378280961214066,0.15384615384615385,0.5849971026224333,10.8413803342132,106.725187154484,0.0,1,0,0.30272686033993124,0.0,0.0,1.0,0.0,0.0
2579,-0.5826509567402912,0.23076923076923078,-0.4391709580720064,10.8059439620207,106.681455225238,2.0,0,1,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
1360,-0.10929128578611225,0.23076923076923078,-0.4391709580720064,10.6924937675446,106.74088825112,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
2732,-0.37480406362233243,0.15384615384615385,-1.2015945422910468,10.8076416784537,106.703162834828,0.0,1,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
952,-0.5012464551475065,0.23076923076923078,0.1302907279796492,10.7497397434052,106.644089412309,3.0,0,1,-0.3306552193971129,0.0,0.0,0.0,0.0,1.0
1383,-0.3271071868061051,0.23076923076923078,0.5849971026224333,10.8244756899721,106.717040938248,3.0,0,0,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
1983,-0.5550151062263636,0.23076923076923078,-0.7884660886417492,10.8362201494589,106.726902381648,2.0,0,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
1370,0.16700223033751904,0.15384615384615385,0.1302907279796492,10.7793613452089,106.769162844974,3.0,0,1,-0.3306552193971129,0.0,0.0,0.0,1.0,0.0
2264,-0.011343228479551189,0.0,-0.4391709580720064,10.7266093311904,106.733563377514,2.0,0,1,-0.09639304316274322,0.0,0.0,0.0,1.0,0.0
5607,0.5366963775693665,0.23076923076923078,-0.13659775324274978,10.6929421400292,106.740826576037,0.0,1,1,0.11316161425994499,0.0,0.0,0.0,0.0,0.0
4868,-0.7602813127840508,0.0,-0.4391709580720064,10.823968438281,106.775203557751,0.0,1,0,-1.709276224228461,0.0,0.0,0.0,1.0,0.0
4738,0.1330128034148692,0.15384615384615385,0.1302907279796492,10.817515799509698,106.68903440237044,3.0,0,1,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
1024,0.310967493112446,0.0,-1.7072229052631471,10.8798084409142,106.764491507313,0.0,1,0,0.30272686033993124,0.0,0.0,0.0,1.0,0.0
2094,-0.3271071868061051,0.23076923076923078,0.963530485543728,10.7515112562729,106.721766372861,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
2268,0.4281357043022882,0.15384615384615385,-0.4391709580720064,10.8018590207954,106.8127242528,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
416,-1.6356139825265459,0.15384615384615385,-1.2015945422910468,10.7640870192078,106.644711536571,2.0,0,0,-0.3306552193971129,0.0,0.0,0.0,1.0,0.0
1535,-0.17133430316050988,0.23076923076923078,1.5713987371125986,10.7699101271216,106.68858384739,3.0,0,0,0.782381234505476,0.0,0.0,0.0,1.0,0.0
6042,-1.8168784451644522,0.15384615384615385,-1.7072229052631471,10.8482722418565,106.642342120847,0.0,1,0,-0.3306552193971129,0.0,0.0,0.0,0.0,1.0
2522,-1.5260472017317033,0.15384615384615385,-1.2015945422910468,10.7971632092102,106.672863195429,3.0,0,0,-0.5962397703258719,0.0,0.0,0.0,0.0,1.0
564,-0.7291543745677658,0.23076923076923078,1.434027398777648,10.7444508426577,106.732984648917,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
478,0.6378280961214066,0.07692307692307693,1.5713987371125986,10.8505473347913,106.795959376022,3.0,0,0,1.5888228250383352,0.0,0.0,0.0,0.0,1.0
4585,-0.04974733457061966,0.0,-0.7884660886417492,10.7969172992678,106.664897659777,3.0,0,0,-2.28145563852695,0.0,0.0,0.0,1.0,0.0
1203,-0.17133430316050988,0.3076923076923077,0.1302907279796492,10.7940555531389,106.674867448105,3.0,0,1,0.30272686033993124,0.0,0.0,1.0,0.0,0.0
4229,-0.6986692748486453,0.23076923076923078,-1.7072229052631471,10.7971804305777,106.681240362888,0.0,1,0,-0.09639304316274322,0.0,0.0,0.0,0.0,1.0
142,-0.8577985162466776,0.15384615384615385,-1.7072229052631471,10.7585521117095,106.645887670004,3.0,0,0,-0.3306552193971129,0.0,0.0,0.0,1.0,0.0
3328,2.3101835745616155,0.23076923076923078,0.1302907279796492,10.7584649965115,106.764788454753,3.0,0,1,1.0479657854342355,0.0,0.0,0.0,1.0,0.0
3871,0.2487067167045892,0.3076923076923077,-0.7884660886417492,10.7616007360089,106.690136269538,3.0,0,0,2.2307964070632096,0.0,0.0,0.0,1.0,0.0
5319,-0.5012464551475065,0.38461538461538464,0.1302907279796492,10.8290620084939,106.689348870624,0.0,1,0,0.11316161425994499,0.0,1.0,0.0,1.0,0.0
3475,-0.5012464551475065,0.23076923076923078,-0.7884660886417492,10.7695642916571,106.612928089678,3.0,0,0,0.4757863711357461,0.0,0.0,0.0,1.0,0.0
605,-0.2360953837240995,0.23076923076923078,0.1302907279796492,10.6928391084013,106.740861887214,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
