Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
384.0,3.0,24.8,1.0,0.0,10.86637925589244,106.8167315555206,19.05373796668013,22.16312946816002,,1,0,0,1,0,1,19.567814035088464,,,,13.0,16.13965695067342,3.258096538021482
80.0,4.0,10.0,2.0,2.0,10.881638523495,106.637886682912,8.826587031047127,9.876587188250411,33762.1,0,0,0,0,1,0,13.700632103822276,0.2522651138406674,18.8968103287414,0.0,10.0,13.625065667931644,2.2607208888953467
140.0,3.0,12.0,2.0,0.0,10.7719831959622,106.669288276788,24.737276401817315,20.454141463799196,240.0,0,0,0,0,0,1,29.601425780011347,24.616666666666667,0.0,75.4875,14.0,3.503534510194315,3.9889840465642745
39.0,4.0,3.0,2.0,2.0,10.7161039104522,106.631755785234,9.678900518707806,15.287451678785835,349.4,0,0,0,0,0,0,16.678375937838855,13.649112764739554,86.3594733829422,0.0,7.0,10.08690903009584,1.6486586255873816
990.0,3.0,37.2,2.0,0.0,10.8062295220215,106.743832418038,38.64743434299875,67.34407750317621,,0,0,0,0,0,1,103.85655586931242,,,,53.0,5.751983131301858,5.43372200355424
130.0,7.0,18.2,0.0,0.0,10.7692039823815,106.690307187657,53.75818181811302,87.57837901678283,2516.2,0,0,0,0,0,1,83.28399184762165,94.08870519036644,0.0,0.0,8.0,1.4003549659065315,4.07753744390572
232.0,6.0,12.64,2.0,0.0,10.8023973511541,106.641715744194,19.38917355371904,16.235786822236673,1401.9,0,0,0,0,0,1,33.110887385302135,99.85804978957128,0.0,0.1390969398673229,8.0,7.119717696751046,4.143134726391533
75.0,3.0,14.0,0.0,1.0,10.879043,106.55251,15.203811516710664,9.804078497114617,34049.8,0,0,1,0,1,0,13.854897624671366,0.0,10.637712996845796,0.0,6.0,19.865558003385125,2.0149030205422647
72.0,3.0,6.166666666666666,2.0,0.0,10.8455069821256,106.664734478905,11.098013468192365,9.25547857079342,921.7,0,1,0,0,0,1,15.77172652828078,16.597591407182378,83.40674839969621,0.0,9.0,8.689687176116783,2.33214389523559
177.0,3.0,15.0,2.0,0.0,10.8045403973595,106.79315461159,19.05373796668013,20.10815801017749,,0,0,0,0,0,0,20.970560494556636,,,,7.0,10.543950803164307,2.995732273553991
